ID	Text	Pronoun	Pronoun-offset	A	A-offset	A-coref	B	B-offset	B-coref	Book
3-swap-2	The loss of her mother had strengthened their bond further. It was the only good thing that was caused by Marielle's death. When Susanna stepped into the role as the head of the family, Pete was more than willing to let her.  Susanna and Ted took over Marielle's accounting business, giving Pete a percentage of the profits. His daughter had a good mind for numbers, and she made sure the income Pete received each month was enough for him to live well.	His	325	Ted	238	FALSE	Pete	291	TRUE	valley-of-sorrows.epub
6	"The Taylors were sitting on the stone barbecue when Dan and Bea entered the clearing. Jake bounded up to Dan, happily anticipating a pat or two. Dan obliged by vigorously rubbing his ears. ""Good morning, Dan and Bea,"" said Marielle, and she stood up to greet them."	she	237	Bea	212	FALSE	Marielle	223	TRUE	valley-of-sorrows.epub
6-control	"The Taylors were sitting on the stone barbecue when Jake and Marielle entered the clearing. Dan bounded up to Jake, happily anticipating a pat or two. Jake obliged by vigorously rubbing his ears. ""Good morning, Jake and Marielle,"" said Bea, and she stood up to greet them."	she	245	Marielle	220	FALSE	Bea	236	TRUE	valley-of-sorrows.epub
6-swap-1	"The Taylors were sitting on the stone barbecue when Bea and Dan entered the clearing. Marielle bounded up to Bea, happily anticipating a pat or two. Bea obliged by vigorously rubbing her ears. ""Good morning, Bea and Dan,"" said Jake, and he stood up to greet them."	he	237	Dan	216	FALSE	Jake	227	TRUE	valley-of-sorrows.epub
6-swap-2	"The Taylors were sitting on the stone barbecue when Marielle and Jake entered the clearing. Bea bounded up to Marielle, happily anticipating a pat or two. Marielle obliged by vigorously rubbing her ears. ""Good morning, Marielle and Jake,"" said Dan, and he stood up to greet them."	he	253	Jake	232	FALSE	Dan	244	TRUE	valley-of-sorrows.epub
7	"The Taylors were sitting on the stone barbecue when Dan and Bea entered the clearing. Jake bounded up to Dan, happily anticipating a pat or two. Dan obliged by vigorously rubbing his ears. ""Good morning, Dan and Bea,"" said Marielle, and she stood up to greet them. Dan felt his heart flutter ever so slightly at the sight of her."	her	325	Bea	212	FALSE	Marielle	223	TRUE	valley-of-sorrows.epub
7-control	"The Taylors were sitting on the stone barbecue when Jake and Marielle entered the clearing. Dan bounded up to Jake, happily anticipating a pat or two. Jake obliged by vigorously rubbing his ears. ""Good morning, Jake and Marielle,"" said Bea, and she stood up to greet them. Jake felt his heart flutter ever so slightly at the sight of her."	her	334	Marielle	220	FALSE	Bea	236	TRUE	valley-of-sorrows.epub
7-swap-1	"The Taylors were sitting on the stone barbecue when Bea and Dan entered the clearing. Marielle bounded up to Bea, happily anticipating a pat or two. Bea obliged by vigorously rubbing her ears. ""Good morning, Bea and Dan,"" said Jake, and he stood up to greet them. Bea felt her heart flutter ever so slightly at the sight of him."	him	324	Dan	216	FALSE	Jake	227	TRUE	valley-of-sorrows.epub
7-swap-2	"The Taylors were sitting on the stone barbecue when Marielle and Jake entered the clearing. Bea bounded up to Marielle, happily anticipating a pat or two. Marielle obliged by vigorously rubbing her ears. ""Good morning, Marielle and Jake,"" said Dan, and he stood up to greet them. Marielle felt her heart flutter ever so slightly at the sight of him."	him	345	Jake	232	FALSE	Dan	244	TRUE	valley-of-sorrows.epub
12	Bits and pieces of their conversation floated back to her, and from what she could ascertain, the blow to Bea's head was not delivered by a rampaging buck. She watched Ted hovering on the fringe of all the excitement, trying to get a closer look. Dan saw his attempt and motioned him to stand to the side. Marielle then heard Dan tell Ted to take her back to the house. She also heard him caution them both not to touch anything because the area was now considered a crime scene.	him	385	Dan	326	TRUE	Ted	335	FALSE	valley-of-sorrows.epub
12-control	Bits and pieces of their conversation floated back to her, and from what she could ascertain, the blow to Marielle's head was not delivered by a rampaging buck. She watched Dan hovering on the fringe of all the excitement, trying to get a closer look. Ted saw his attempt and motioned him to stand to the side. Bea then heard Ted tell Dan to take her back to the house. She also heard him caution them both not to touch anything because the area was now considered a crime scene.	him	385	Ted	326	TRUE	Dan	335	FALSE	valley-of-sorrows.epub
12-swap-1	Bits and pieces of their conversation floated back to him, and from what he could ascertain, the blow to Ted's head was not delivered by a rampaging buck. He watched Bea hovering on the fringe of all the excitement, trying to get a closer look. Marielle saw her attempt and motioned her to stand to the side. Dan then heard Marielle tell Bea to take him back to the house. He also heard her caution them both not to touch anything because the area was now considered a crime scene.	her	387	Marielle	324	TRUE	Bea	338	FALSE	valley-of-sorrows.epub
12-swap-2	Bits and pieces of their conversation floated back to him, and from what he could ascertain, the blow to Dan's head was not delivered by a rampaging buck. He watched Marielle hovering on the fringe of all the excitement, trying to get a closer look. Bea saw her attempt and motioned her to stand to the side. Ted then heard Bea tell Marielle to take him back to the house. He also heard her caution them both not to touch anything because the area was now considered a crime scene.	her	387	Bea	324	TRUE	Marielle	333	FALSE	valley-of-sorrows.epub
13	As she thought about Andy, Marielle realized she had not told Bea or Ted about the identity of the killer.	she	3	Marielle	27	TRUE	Bea	62	FALSE	valley-of-sorrows.epub
13-control	As she thought about Ted, Bea realized she had not told Marielle or Andy about the identity of the killer.	she	3	Bea	26	TRUE	Marielle	56	FALSE	valley-of-sorrows.epub
13-swap-1	As he thought about Marielle, Andy realized he had not told Ted or Bea about the identity of the killer.	he	3	Andy	30	TRUE	Ted	60	FALSE	valley-of-sorrows.epub
13-swap-2	As he thought about Bea, Ted realized he had not told Andy or Marielle about the identity of the killer.	he	3	Ted	25	TRUE	Andy	54	FALSE	valley-of-sorrows.epub
14	As she thought about Andy, Marielle realized she had not told Bea or Ted about the identity of the killer. She was going to have to tell them when they got to the lake.	She	107	Marielle	27	TRUE	Bea	62	FALSE	valley-of-sorrows.epub
14-control	As she thought about Ted, Bea realized she had not told Marielle or Andy about the identity of the killer. She was going to have to tell them when they got to the lake.	She	107	Bea	26	TRUE	Marielle	56	FALSE	valley-of-sorrows.epub
14-swap-1	As he thought about Marielle, Andy realized he had not told Ted or Bea about the identity of the killer. He was going to have to tell them when they got to the lake.	He	105	Andy	30	TRUE	Ted	60	FALSE	valley-of-sorrows.epub
14-swap-2	As he thought about Bea, Ted realized he had not told Andy or Marielle about the identity of the killer. He was going to have to tell them when they got to the lake.	He	105	Ted	25	TRUE	Andy	54	FALSE	valley-of-sorrows.epub
21	"""Of course I do,"" Alisha responded breathlessly, obviously delighted at her newfound freedom from the laws of nature.  ""And we need to talk to Ryan and Miss Robbins about helping us,"" Roman continued.  Alisha didn't seem to hear him."	him	229	Ryan	143	FALSE	Roman	184	TRUE	vampire-in-the-night.epub
21-control	"""Of course I do,"" Miss Robbins responded breathlessly, obviously delighted at her newfound freedom from the laws of nature.  ""And we need to talk to Roman and Alisha about helping us,"" Ryan continued.  Miss Robbins didn't seem to hear him."	him	235	Roman	149	FALSE	Ryan	185	TRUE	vampire-in-the-night.epub
21-swap-1	"""Of course I do,"" Ryan responded breathlessly, obviously delighted at his newfound freedom from the laws of nature.  ""And we need to talk to Alisha and Roman about helping us,"" Miss Robbins continued.  Ryan didn't seem to hear her."	her	227	Alisha	141	FALSE	Miss Robbins	177	TRUE	vampire-in-the-night.epub
21-swap-2	"""Of course I do,"" Roman responded breathlessly, obviously delighted at his newfound freedom from the laws of nature.  ""And we need to talk to Miss Robbins and Ryan about helping us,"" Alisha continued.  Roman didn't seem to hear her."	her	228	Miss Robbins	142	FALSE	Alisha	183	TRUE	vampire-in-the-night.epub
25	**  One night, Armando found Vanora in Roman's study around midnight staring at the game board. The merry voices of the vampires visiting with Roman echoed through the house. It was a Friday night and Armando knew Vanora had just returned from a concert with her friend Rhonda. He had noted that her siblings were too busy to notice her arrival and had kept a watch for her.	her	333	Vanora	214	TRUE	Rhonda	270	FALSE	vampire-in-the-night.epub
25-control	**  One night, Roman found Rhonda in Armando's study around midnight staring at the game board. The merry voices of the vampires visiting with Armando echoed through the house. It was a Friday night and Roman knew Rhonda had just returned from a concert with her friend Vanora. He had noted that her siblings were too busy to notice her arrival and had kept a watch for her.	her	333	Rhonda	214	TRUE	Vanora	270	FALSE	vampire-in-the-night.epub
25-swap-1	**  One night, Vanora found Armando in Rhonda's study around midnight staring at the game board. The merry voices of the vampires visiting with Rhonda echoed through the house. It was a Friday night and Vanora knew Armando had just returned from a concert with his friend Roman. She had noted that his siblings were too busy to notice his arrival and had kept a watch for him.	his	335	Armando	215	TRUE	Roman	272	FALSE	vampire-in-the-night.epub
25-swap-2	**  One night, Rhonda found Roman in Vanora's study around midnight staring at the game board. The merry voices of the vampires visiting with Vanora echoed through the house. It was a Friday night and Rhonda knew Roman had just returned from a concert with his friend Armando. She had noted that his siblings were too busy to notice his arrival and had kept a watch for him.	his	333	Roman	213	TRUE	Armando	268	FALSE	vampire-in-the-night.epub
28	"It's okay,"" Crystal said, her arm settling around Vanora's shoulders. She pressed a kiss to her temple.  ""Let me out, Viktor! I'm going to go kick his ass!"" Uncle Nicolau kept trying to get past Viktor, who kept pushing him back into his seat."	his	234	Uncle Nicolau	157	TRUE	Viktor	195	FALSE	vampire-in-the-night.epub
28-control	"It's okay,"" Vanora said, her arm settling around Crystal's shoulders. She pressed a kiss to her temple.  ""Let me out, Uncle Nicolau! I'm going to go kick his ass!"" Viktor kept trying to get past Uncle Nicolau, who kept pushing him back into his seat."	his	241	Viktor	164	TRUE	Uncle Nicolau	195	FALSE	vampire-in-the-night.epub
28-swap-1	"It's okay,"" Uncle Nicolau said, his arm settling around Viktor's shoulders. He pressed a kiss to his temple.  ""Let me out, Vanora! I'm going to go kick her ass!"" Crystal kept trying to get past Vanora, who kept pushing her back into her seat."	her	233	Crystal	162	TRUE	Vanora	194	FALSE	vampire-in-the-night.epub
28-swap-2	"It's okay,"" Viktor said, his arm settling around Uncle Nicolau's shoulders. He pressed a kiss to his temple.  ""Let me out, Crystal! I'm going to go kick her ass!"" Vanora kept trying to get past Crystal, who kept pushing her back into her seat."	her	234	Vanora	163	TRUE	Crystal	194	FALSE	vampire-in-the-night.epub
31	"""You don't get a vote,"" Vanora said darkly to Armando, brushing past him to sit next to her brother again.  Alisha smirked. Her little sister was definitely jabbing at Armando, but Roman was too obtuse to realize it. The frown lines on his face said it all as he glared at the screen of Vanora's pink digital camera."	his	236	Armando	168	FALSE	Roman	181	TRUE	vampire-in-the-night.epub
31-control	"""You don't get a vote,"" Alisha said darkly to Roman, brushing past him to sit next to her brother again.  Vanora smirked. Her little sister was definitely jabbing at Roman, but Armando was too obtuse to realize it. The frown lines on his face said it all as he glared at the screen of Alisha's pink digital camera."	his	234	Roman	166	FALSE	Armando	177	TRUE	vampire-in-the-night.epub
31-swap-1	"""You don't get a vote,"" Armando said darkly to Vanora, brushing past her to sit next to his sister again.  Roman smirked. His little brother was definitely jabbing at Vanora, but Alisha was too obtuse to realize it. The frown lines on her face said it all as she glared at the screen of Armando's pink digital camera."	her	235	Vanora	167	FALSE	Alisha	179	TRUE	vampire-in-the-night.epub
31-swap-2	"""You don't get a vote,"" Roman said darkly to Alisha, brushing past her to sit next to his sister again.  Armando smirked. His little brother was definitely jabbing at Alisha, but Vanora was too obtuse to realize it. The frown lines on her face said it all as she glared at the screen of Roman's pink digital camera."	her	235	Alisha	167	FALSE	Vanora	179	TRUE	vampire-in-the-night.epub
33	"""That's new?"" Roman blinked, confused.  Leaning over Alexander's arm, Sheila looked at Vanora, a conspiratorial smile on her face. """	her	121	Sheila	70	TRUE	Vanora	87	FALSE	vampire-in-the-night.epub
33-control	"""That's new?"" Alexander blinked, confused.  Leaning over Roman's arm, Vanora looked at Sheila, a conspiratorial smile on her face. """	her	121	Vanora	70	TRUE	Sheila	87	FALSE	vampire-in-the-night.epub
33-swap-1	"""That's new?"" Vanora blinked, confused.  Leaning over Sheila's arm, Alexander looked at Roman, a conspiratorial smile on his face. """	his	121	Alexander	68	TRUE	Roman	88	FALSE	vampire-in-the-night.epub
33-swap-2	"""That's new?"" Sheila blinked, confused.  Leaning over Vanora's arm, Roman looked at Alexander, a conspiratorial smile on his face. """	his	121	Roman	68	TRUE	Alexander	84	FALSE	vampire-in-the-night.epub
34	"Ask Steve, or Cara!""  ""What?"" Cindy asked.  Kent walked over and grabbed Steve by the shoulder, ""What's she talking about, are you responsible for what's going on?""  Steve spun around and looked up at Kent who was towering above him."	him	229	Steve	166	TRUE	Kent	201	FALSE	vampire-zoo.epub
34-control	"Ask Kent, or Cindy!""  ""What?"" Cara asked.  Steve walked over and grabbed Kent by the shoulder, ""What's she talking about, are you responsible for what's going on?""  Kent spun around and looked up at Steve who was towering above him."	him	228	Kent	165	TRUE	Steve	199	FALSE	vampire-zoo.epub
34-swap-1	"Ask Cindy, or Kent!""  ""What?"" Steve asked.  Cara walked over and grabbed Cindy by the shoulder, ""What's he talking about, are you responsible for what's going on?""  Cindy spun around and looked up at Cara who was towering above her."	her	228	Cindy	165	TRUE	Cara	200	FALSE	vampire-zoo.epub
34-swap-2	"Ask Cara, or Steve!""  ""What?"" Kent asked.  Cindy walked over and grabbed Cara by the shoulder, ""What's he talking about, are you responsible for what's going on?""  Cara spun around and looked up at Cindy who was towering above her."	her	227	Cara	164	TRUE	Cindy	198	FALSE	vampire-zoo.epub
35	"Cindy asked.  Kent walked over and grabbed Steve by the shoulder, ""What's she talking about, are you responsible for what's going on?""  Steve spun around and looked up at Kent who was towering above him. He didn't want to say anything but had to defend himself. ""It's was Cara's idea,"" Steve said hoping Kent wouldn't take a swing at him."	him	334	Steve	286	TRUE	Kent	304	FALSE	vampire-zoo.epub
35-control	"Cara asked.  Steve walked over and grabbed Kent by the shoulder, ""What's she talking about, are you responsible for what's going on?""  Kent spun around and looked up at Steve who was towering above him. He didn't want to say anything but had to defend himself. ""It's was Cindy's idea,"" Kent said hoping Steve wouldn't take a swing at him."	him	334	Kent	286	TRUE	Steve	303	FALSE	vampire-zoo.epub
35-swap-1	"Kent asked.  Cindy walked over and grabbed Cara by the shoulder, ""What's he talking about, are you responsible for what's going on?""  Cara spun around and looked up at Cindy who was towering above her. She didn't want to say anything but had to defend herself. ""It's was Steve's idea,"" Cara said hoping Cindy wouldn't take a swing at her."	her	334	Cara	286	TRUE	Cindy	303	FALSE	vampire-zoo.epub
35-swap-2	"Steve asked.  Cara walked over and grabbed Cindy by the shoulder, ""What's he talking about, are you responsible for what's going on?""  Cindy spun around and looked up at Cara who was towering above her. She didn't want to say anything but had to defend herself. ""It's was Kent's idea,"" Cindy said hoping Cara wouldn't take a swing at her."	her	334	Cindy	286	TRUE	Cara	304	FALSE	vampire-zoo.epub
36	"""Cara?"" Kathy asked.  Steve replied, ""She has an obsession with Bohdan, she wanted him set free."	him	83	Steve	22	FALSE	Bohdan	64	TRUE	vampire-zoo.epub
36-control	"""Kathy?"" Cara asked.  Bohdan replied, ""She has an obsession with Steve, she wanted him set free."	him	83	Bohdan	22	FALSE	Steve	65	TRUE	vampire-zoo.epub
36-swap-1	"""Bohdan?"" Steve asked.  Kathy replied, ""He has an obsession with Cara, he wanted her set free."	her	81	Kathy	24	FALSE	Cara	65	TRUE	vampire-zoo.epub
36-swap-2	"""Steve?"" Bohdan asked.  Cara replied, ""He has an obsession with Kathy, he wanted her set free."	her	81	Cara	24	FALSE	Kathy	64	TRUE	vampire-zoo.epub
40	"That man stood up, gave a smile and a slight bow, and said, ""Good morning. Please, call me Ryan.""  Chapter 2 – MOTHERS  Unknowing of events going on in the hated North with Rachel and Allen, back in Georgia, the shade of Annie Edwards began her morning duties."	her	241	Rachel	173	FALSE	Annie Edwards	221	TRUE	vanessa.epub
40-control	"That man stood up, gave a smile and a slight bow, and said, ""Good morning. Please, call me Allen.""  Chapter 2 – MOTHERS  Unknowing of events going on in the hated North with Annie Edwards and Ryan, back in Georgia, the shade of Rachel began her morning duties."	her	241	Annie Edwards	174	FALSE	Rachel	228	TRUE	vanessa.epub
40-swap-1	"That woman stood up, gave a smile and a slight bow, and said, ""Good morning. Please, call me Annie Edwards.""  Chapter 2 – Fathers  Unknowing of events going on in the hated North with Allen and Rachel, back in Georgia, the shade of Ryan began his morning duties."	his	243	Allen	184	FALSE	Ryan	232	TRUE	vanessa.epub
40-swap-2	"That woman stood up, gave a smile and a slight bow, and said, ""Good morning. Please, call me Rachel.""  Chapter 2 – Fathers  Unknowing of events going on in the hated North with Ryan and Annie Edwards, back in Georgia, the shade of Allen began his morning duties."	his	243	Ryan	177	FALSE	Allen	231	TRUE	vanessa.epub
41	"The half full glass of water and ice cubes then tilted and spilled, right down the front of Rachel's dress. The cold was the only thing that kept Rachel from fainting on the spot. Allen didn't have that advantage.  Ryan said, ""Marianne, be a dear and help Rachel into something dry. Bring her back when she is coherent, please."""	her	289	Marianne	227	FALSE	Rachel	256	TRUE	vanessa.epub
41-control	"The half full glass of water and ice cubes then tilted and spilled, right down the front of Marianne's dress. The cold was the only thing that kept Marianne from fainting on the spot. Ryan didn't have that advantage.  Allen said, ""Rachel, be a dear and help Marianne into something dry. Bring her back when she is coherent, please."""	her	293	Rachel	231	FALSE	Marianne	258	TRUE	vanessa.epub
41-swap-1	"The half full glass of water and ice cubes then tilted and spilled, right down the front of Allen's dress. The cold was the only thing that kept Allen from fainting on the spot. Rachel didn't have that advantage.  Marianne said, ""Ryan, be a dear and help Allen into something dry. Bring him back when he is coherent, please."""	him	287	Ryan	230	FALSE	Allen	255	TRUE	vanessa.epub
41-swap-2	"The half full glass of water and ice cubes then tilted and spilled, right down the front of Ryan's dress. The cold was the only thing that kept Ryan from fainting on the spot. Marianne didn't have that advantage.  Rachel said, ""Allen, be a dear and help Ryan into something dry. Bring him back when he is coherent, please."""	him	285	Allen	228	FALSE	Ryan	254	TRUE	vanessa.epub
44	Allen didn't know whether to laugh or cry. Rachel chose the latter and had to borrow Marianne's napkin for her eyes once her own was finished with her nose. The thought that Carl might wish to tell her something similar, and couldn't, hit her hard.	her	239	Rachel	43	TRUE	Marianne	85	FALSE	vanessa.epub
44-control	Carl didn't know whether to laugh or cry. Marianne chose the latter and had to borrow Rachel's napkin for her eyes once her own was finished with her nose. The thought that Allen might wish to tell her something similar, and couldn't, hit her hard.	her	239	Marianne	42	TRUE	Rachel	86	FALSE	vanessa.epub
44-swap-1	Marianne didn't know whether to laugh or cry. Carl chose the latter and had to borrow Allen's napkin for his eyes once his own was finished with his nose. The thought that Rachel might wish to tell him something similar, and couldn't, hit him hard.	him	239	Carl	46	TRUE	Allen	86	FALSE	vanessa.epub
44-swap-2	Rachel didn't know whether to laugh or cry. Allen chose the latter and had to borrow Carl's napkin for his eyes once his own was finished with his nose. The thought that Marianne might wish to tell him something similar, and couldn't, hit him hard.	him	239	Allen	44	TRUE	Carl	85	FALSE	vanessa.epub
45	"""I went back to the room. Things were settling down over at the women's john. Got back onto the bed and just looked at them. Vanessa looked like she ate the canary, ('Huh' said Allen's expression, 'Later' replied Rachel's) while Doctor Morrison looked, different. His face showed relief, sadness and happiness."	His	264	Allen	177	FALSE	Morrison	236	TRUE	vanessa.epub
45-control	"""I went back to the room. Things were settling down over at the women's john. Got back onto the bed and just looked at them. Rachel looked like she ate the canary, ('Huh' said Morrison's expression, 'Later' replied Vanessa's) while Doctor Allen looked, different. His face showed relief, sadness and happiness."	His	264	Morrison	176	FALSE	Allen	239	TRUE	vanessa.epub
45-swap-1	"""I went back to the room. Things were settling down over at the men's john. Got back onto the bed and just looked at them. Allen looked like he ate the canary, ('Huh' said Vanessa's expression, 'Later' replied Morrison's) while Doctor Rachel looked, different. Her face showed relief, sadness and happiness."	Her	261	Vanessa	172	FALSE	Rachel	235	TRUE	vanessa.epub
45-swap-2	"""I went back to the room. Things were settling down over at the men's john. Got back onto the bed and just looked at them. Morrison looked like he ate the canary, ('Huh' said Rachel's expression, 'Later' replied Allen's) while Doctor Vanessa looked, different. Her face showed relief, sadness and happiness."	Her	261	Rachel	175	FALSE	Vanessa	234	TRUE	vanessa.epub
48	Rachel caught it, too, and guessed correctly that it took this kind of insanity to keep a group like this from fraying at the ends. Even Allen had recovered enough of his sea legs to realize that the game was afoot and friends were there to back him up.  Gustav escorted Allen and Melissa to his office.	his	292	Gustav	255	TRUE	Allen	271	FALSE	vanessa.epub
48-control	Melissa caught it, too, and guessed correctly that it took this kind of insanity to keep a group like this from fraying at the ends. Even Gustav had recovered enough of his sea legs to realize that the game was afoot and friends were there to back him up.  Allen escorted Gustav and Rachel to his office.	his	293	Allen	257	TRUE	Gustav	272	FALSE	vanessa.epub
48-swap-1	Allen caught it, too, and guessed correctly that it took this kind of insanity to keep a group like this from fraying at the ends. Even Rachel had recovered enough of her sea legs to realize that the game was afoot and friends were there to back her up.  Melissa escorted Rachel and Gustav to her office.	her	293	Melissa	255	TRUE	Rachel	272	FALSE	vanessa.epub
48-swap-2	Gustav caught it, too, and guessed correctly that it took this kind of insanity to keep a group like this from fraying at the ends. Even Melissa had recovered enough of her sea legs to realize that the game was afoot and friends were there to back her up.  Rachel escorted Melissa and Allen to her office.	her	294	Rachel	257	TRUE	Melissa	273	FALSE	vanessa.epub
49	Rachel caught it, too, and guessed correctly that it took this kind of insanity to keep a group like this from fraying at the ends. Even Allen had recovered enough of his sea legs to realize that the game was afoot and friends were there to back him up.  Gustav escorted Allen and Melissa to his office. He pulled up a chair next to his desk with a butler's flourish, a comfortable chair, befitting an honored guest.	He	304	Gustav	255	TRUE	Allen	271	FALSE	vanessa.epub
49-control	Melissa caught it, too, and guessed correctly that it took this kind of insanity to keep a group like this from fraying at the ends. Even Gustav had recovered enough of his sea legs to realize that the game was afoot and friends were there to back him up.  Allen escorted Gustav and Rachel to his office. He pulled up a chair next to his desk with a butler's flourish, a comfortable chair, befitting an honored guest.	He	305	Allen	257	TRUE	Gustav	272	FALSE	vanessa.epub
49-swap-1	Allen caught it, too, and guessed correctly that it took this kind of insanity to keep a group like this from fraying at the ends. Even Rachel had recovered enough of her sea legs to realize that the game was afoot and friends were there to back her up.  Melissa escorted Rachel and Gustav to her office. She pulled up a chair next to her desk with a butler's flourish, a comfortable chair, befitting an honored guest.	She	305	Melissa	255	TRUE	Rachel	272	FALSE	vanessa.epub
49-swap-2	Gustav caught it, too, and guessed correctly that it took this kind of insanity to keep a group like this from fraying at the ends. Even Melissa had recovered enough of her sea legs to realize that the game was afoot and friends were there to back her up.  Rachel escorted Melissa and Allen to her office. She pulled up a chair next to her desk with a butler's flourish, a comfortable chair, befitting an honored guest.	She	306	Rachel	257	TRUE	Melissa	273	FALSE	vanessa.epub
51	Rachel caught it, too, and guessed correctly that it took this kind of insanity to keep a group like this from fraying at the ends. Even Allen had recovered enough of his sea legs to realize that the game was afoot and friends were there to back him up.  Gustav escorted Allen and Melissa to his office. He pulled up a chair next to his desk with a butler's flourish, a comfortable chair, befitting an honored guest. Allen was directed to Gustav's own chair and, as he leaned over to pick up a few pens, slickly pushed a button next to a polarized glass inset on his desktop.	he	466	Allen	417	TRUE	Gustav	439	FALSE	vanessa.epub
51-control	Melissa caught it, too, and guessed correctly that it took this kind of insanity to keep a group like this from fraying at the ends. Even Gustav had recovered enough of his sea legs to realize that the game was afoot and friends were there to back him up.  Allen escorted Gustav and Rachel to his office. He pulled up a chair next to his desk with a butler's flourish, a comfortable chair, befitting an honored guest. Gustav was directed to Allen's own chair and, as he leaned over to pick up a few pens, slickly pushed a button next to a polarized glass inset on his desktop.	he	467	Gustav	418	TRUE	Allen	441	FALSE	vanessa.epub
51-swap-1	Gustav caught it, too, and guessed correctly that it took this kind of insanity to keep a group like this from fraying at the ends. Even Melissa had recovered enough of her sea legs to realize that the game was afoot and friends were there to back her up.  Rachel escorted Melissa and Allen to her office. She pulled up a chair next to her desk with a butler's flourish, a comfortable chair, befitting an honored guest. Melissa was directed to Rachel's own chair and, as she leaned over to pick up a few pens, slickly pushed a button next to a polarized glass inset on her desktop.	she	471	Melissa	420	TRUE	Rachel	444	FALSE	vanessa.epub
